"filename", "language", "Properties", "JSON", "JavaScript", "comment", "blank", "total"
"g:\Learning\Project\source\picasarts-tracker\.env", "Properties", 0, 0, 0, 0, 1, 1
"g:\Learning\Project\source\picasarts-tracker\abis\FungibleToken.json", "JSON", 0, 297, 0, 0, 1, 298
"g:\Learning\Project\source\picasarts-tracker\abis\Hub.json", "JSON", 0, 906, 0, 0, 1, 907
"g:\Learning\Project\source\picasarts-tracker\abis\HubChild.json", "JSON", 0, 279, 0, 0, 1, 280
"g:\Learning\Project\source\picasarts-tracker\abis\IHubChild.json", "JSON", 0, 188, 0, 0, 1, 189
"g:\Learning\Project\source\picasarts-tracker\abis\Marketplace.json", "JSON", 0, 1044, 0, 0, 1, 1045
"g:\Learning\Project\source\picasarts-tracker\abis\NFTLoan.json", "JSON", 0, 1127, 0, 0, 1, 1128
"g:\Learning\Project\source\picasarts-tracker\abis\PNFT.json", "JSON", 0, 621, 0, 0, 1, 622
"g:\Learning\Project\source\picasarts-tracker\abis\Rental.json", "JSON", 0, 816, 0, 0, 1, 817
"g:\Learning\Project\source\picasarts-tracker\config.json", "JSON", 0, 15, 0, 0, 0, 15
"g:\Learning\Project\source\picasarts-tracker\models\Artist.js", "JavaScript", 0, 0, 21, 0, 2, 23
"g:\Learning\Project\source\picasarts-tracker\models\Collection.js", "JavaScript", 0, 0, 54, 0, 2, 56
"g:\Learning\Project\source\picasarts-tracker\models\Nft.js", "JavaScript", 0, 0, 58, 0, 2, 60
"g:\Learning\Project\source\picasarts-tracker\models\Token.js", "JavaScript", 0, 0, 27, 0, 2, 29
"g:\Learning\Project\source\picasarts-tracker\models\User.js", "JavaScript", 0, 0, 47, 0, 2, 49
"g:\Learning\Project\source\picasarts-tracker\package-lock.json", "JSON", 0, 9886, 0, 0, 1, 9887
"g:\Learning\Project\source\picasarts-tracker\package.json", "JSON", 0, 21, 0, 0, 1, 22
"g:\Learning\Project\source\picasarts-tracker\server.js", "JavaScript", 0, 0, 330, 0, 19, 349
"Total", "-", 0, 15200, 537, 0, 40, 15777